Benchmark,Device,Device Name,Key,Hash,Word,WordsPerBlock,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec),Pattern Bits,AddHorizontalLayout,AddVerticalLayout,ContainsHorizontalLayout,ContainsVerticalLayout
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,1,No,1,11,0.04732095881818183,0.003819400565840924,0.04730284222689541,0.003828419462164468,21140378736.722523,12,0.04722995154062907,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2,No,1,11,0.04753128672727272,0.004341314760350498,0.04751322798295455,0.004338874453648085,21046770393.26294,12,0.04722994995117188,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,4,No,1,11,0.04770387672727274,0.0035212301092276857,0.04768479433926669,0.0035091170628582073,20971045673.07605,12,0.04730060768127441,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,8,No,1,11,0.04776331027272728,0.00014221532365353635,0.04774465144764293,0.00013506449937726107,20944754431.742077,12,0.047510444005330395,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,16,No,1,11,0.04776902327272728,0.00010807384446505837,0.04774949195168236,9.840877600771021e-05,20942631201.435577,12,0.04752912871042888,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,32,No,1,11,0.04885326718181818,0.0040649990148556485,0.04883483956076882,0.0040527419942299895,20477184096.317665,12,0.048749909718831384,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,64,No,0.999998927116394,11,0.12855702854545453,0.014256105398616827,0.1285390888560902,0.014252193768811445,7779734623.13538,12,0.12761932881673177,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,128,No,0.9982485175132751,11,0.16248662045454546,0.009662171757104328,0.16247147022594105,0.009659654005353764,6154926761.045181,12,0.16184286117553712,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,256,No,0.9296044111251831,11,0.1791124528181818,0.00829147756462993,0.1790969474098899,0.00829104351518325,5583568086.793528,12,0.17848192087809245,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,512,No,0.6064155101776123,11,0.1874201761818182,0.007985240997921738,0.18740475325150924,0.00798315244878996,5336043951.126125,12,0.18679389826456705,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,1024,No,0.23074789345264435,11,0.19153271972727276,0.007647043487169927,0.1915158330743963,0.007645607851453209,5221500405.199082,12,0.19095611826578773,,,,,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2048,No,0.09280787408351898,11,0.19363216290909094,0.007511960762888296,0.19361559226296166,0.007512398145782086,5164873284.801548,12,0.1930298016866048,,,,,
bloom_filter_add_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,identity_hash,U32,8,UNIQUE,1000000000,2000,No,0,11,0.07389144,0.012683961904659842,0.07387396656383168,0.01267862209726577,13536568381.446503,12,0.07300317891438803,,,,,
bloom_filter_add_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,xxhash_32,U32,8,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_add_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2000,No,0.02570018358528614,11,0.19363101754545456,0.007590117824419097,0.19361456853693182,0.007588985253743596,5164900593.77557,12,0.1930043741861979,,,,,
bloom_filter_add_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,murmurhash3_32,U32,8,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,1,UNIQUE,1000000000,2000,No,0.8515267968177795,11,0.19324884972727271,0.007649444447675064,0.1932317782315341,0.007647641471636143,5175132212.475841,12,0.19266457621256514,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,2,UNIQUE,1000000000,2000,No,0.9779473543167114,11,0.19275608854545456,0.007713794070522349,0.19273923561789774,0.007713544116349208,5188357195.638583,12,0.19212373479207356,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,4,UNIQUE,1000000000,2000,No,0.9995129108428955,11,0.19290596354545456,0.007721673088545071,0.19288985651189627,0.0077208708140970896,5184305790.275323,12,0.19233024215698244,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2000,No,0.02570018358528614,11,0.19357936963636363,0.007692741707049459,0.19356206581809304,0.007693017029299268,5166301546.604624,12,0.1930379130045573,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,1,UNIQUE,1000000000,2000,No,0.9779473543167114,11,0.19326984054545457,0.007625602909858366,0.19325356223366477,0.0076235569363934845,5174548859.23857,12,0.19267797215779622,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,2,UNIQUE,1000000000,2000,No,0.9995129108428955,11,0.19263090054545454,0.007637960466732036,0.19261430636319246,0.007636869547612911,5191722353.761229,12,0.1920576006571452,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,4,UNIQUE,1000000000,2000,No,0.3792368769645691,11,0.1936756141818182,0.007900437990630053,0.19365906594016336,0.007901932641452905,5163713844.974236,12,0.1931402231852213,,,,,
bloom_filter_add_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,8,UNIQUE,1000000000,2000,No,0.009448027238249779,11,0.1994535352727273,0.0075492342611240895,0.19943703391335224,0.0075468387235335405,5014113880.346124,12,0.1989304339090983,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1,No,1,12,0.04437869375,0.0011885689831918804,0.04436258125305176,0.0011897911302734938,22541519716.714157,13,0.04434250787588266,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2,No,1,12,0.04437824183333333,0.0012595162434768817,0.04436061890920004,0.0012591395913812051,22542516867.198353,13,0.044344319857083835,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,4,No,1,12,0.04438885391666667,0.0019704049055979697,0.04437171173095703,0.001979769040545046,22536881291.922867,13,0.044344950749323916,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,8,No,1,12,0.04438037016666666,0.0010861224620155965,0.04436343415578207,0.001088875195990926,22541086348.015865,13,0.04434526531512921,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,16,No,1,12,0.0445899195,0.004631583935787167,0.04457301362355549,0.0046344811607461345,22435099597.383522,13,0.04434361179058369,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,32,No,1,11,0.04572361263636364,0.004823107641187712,0.04570558825406162,0.004819554911150794,21879162662.590504,12,0.04531353569030761,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,64,No,0.9999973773956299,11,0.12694739254545453,0.014166485885193671,0.12693038454922762,0.014161678147018507,7878334281.829646,12,0.1260476576487223,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,128,No,0.9953687191009521,11,0.16176743681818181,0.010191082793074065,0.16175104037198154,0.01018839734524192,6182340451.723114,12,0.1610169169108073,,,,,
