Benchmark,Device,Device Name,Key,Hash,Word,WordsPerBlock,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec),Pattern Bits
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,1,No,1,11,0.04729448927272729,0.002068625274203925,0.047276497580788356,0.0020618517618139097,21152159131.31365,12,0.04721271260579427,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2,No,1,11,0.04728102236363636,0.002044849163907099,0.04726299910111861,0.0020477664966352463,21158200262.7576,12,0.04723046652475993,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,4,No,1,11,0.04730161063636363,0.0023134578289235497,0.04728226956454191,0.0023105172020152285,21149576981.176125,12,0.04723055013020833,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,8,No,1,11,0.04726922127272728,0.0009962258740889968,0.04725099112770774,0.000988578327966101,21163577231.581184,12,0.04723106257120768,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,16,No,1,11,0.04735519109090909,0.004655119893301967,0.04733654160933061,0.004660008455837607,21125328678.487316,12,0.047232513745625815,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,32,No,1,11,0.048050315727272724,0.004590081122636528,0.04803174382990057,0.004581357053473526,20819564734.967693,12,0.047976106961568205,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,64,No,0.999998927116394,11,0.12864837963636366,0.013668610322554403,0.1286303190751509,0.013663447019345179,7774216896.840321,12,0.1276012363433838,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,128,No,0.9982485175132751,11,0.16264801936363638,0.009847662518541208,0.162633169000799,0.009842662923221418,6148807196.858392,12,0.16184192021687824,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,256,No,0.9296044111251831,11,0.179145959,0.008427795907244384,0.1791297149658203,0.008423811422346583,5582546704.720709,12,0.17851810201009113,
bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,512,No,0.6064155101776123,11,0.18741235500000003,0.007923131486855878,0.187396933815696,0.007922109820042406,5336266606.066752,12,0.1868064422607422,
