Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,PatternBits,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,1,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,2,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,4,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,8,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,16,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,32,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,64,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,128,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,256,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,512,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,1024,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,1,1000000000,2048,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,32,16,1000000000,1,Yes,,,,,,,,,,
